data,_loaded_at,_source
"{""event_id"": ""EVT-20240315-00010"", ""event_type"": ""CHECKOUT"", ""occurred_at"": ""13/01/2024 01:55:00"", ""customer"": {""id"": "" C-00586 "", ""name"": ""JOHN SMITH"", ""email"": ""JOHN.SMITH@GMAIL.COM"", ""phone"": ""(+91) 98765-43210"", ""tier"": null, ""address"": {""city"": ""pune"", ""state"": ""MH"", ""country"": ""IN""}}, ""order"": {""order_id"": ""ORD-2024-00010"", ""channel"": ""mobile_app"", ""placed_at"": ""2024-01-13"", ""currency"": ""inr"", ""total_amount"": ""$5,424.08"", ""items"": [{""product_id"": ""P-070"", ""qty"": ""2"", ""unit_price"": ""$696.49"", ""discount_pct"": 10}, {""product_id"": ""P-177"", ""qty"": ""5"", ""unit_price"": ""806.22"", ""discount_pct"": 80}], ""payment"": {""method"": ""UPI"", ""status"": ""PENDING"", ""gateway"": ""Razorpay""}}, ""metadata"": {""app_version"": ""3.5.6"", ""is_test_event"": ""false""}}",2024-01-13 01:55:00,mobile
"{""event_id"": ""EVT-20240315-00011"", ""event_type"": ""page_view"", ""occurred_at"": ""21/04/2024 00:31:00"", ""customer"": {""id"": "" C-00344 "", ""name"": ""DAVID BROWN"", ""email"": ""DAVID.BROWN@GMAIL.COM"", ""phone"": ""(+91) 98765-43210"", ""tier"": ""GOLD"", ""address"": {""city"": ""ahmedabad"", ""state"": ""GJ"", ""country"": ""IN""}}, ""order"": {""order_id"": ""ORD-2024-00011"", ""channel"": ""WEB"", ""placed_at"": ""2024-04-21"", ""currency"": ""inr"", ""total_amount"": ""$6,454.54"", ""items"": [{""product_id"": ""P-104"", ""qty"": ""4"", ""unit_price"": ""331.58"", ""discount_pct"": 30}, {""product_id"": ""P-289"", ""qty"": ""4"", ""unit_price"": ""129.83"", ""discount_pct"": 10}, {""product_id"": ""P-182"", ""qty"": ""5"", ""unit_price"": ""$819.64"", ""discount_pct"": 5}, {""product_id"": ""P-189"", ""qty"": ""2"", ""unit_price"": ""$255.35"", ""discount_pct"": 80}], ""payment"": {""method"": ""Credit Card"", ""status"": ""PENDING"", ""gateway"": ""Stripe""}}, ""metadata"": {""app_version"": ""3.0.6"", ""is_test_event"": ""true""}}",2024-04-21 00:31:00,partner_api
"{""event_id"": ""EVT-20240315-00012"", ""event_type"": ""order_cancelled"", ""occurred_at"": ""02/04/2024 17:07:00"", ""customer"": {""id"": "" C-00538 "", ""name"": ""DAVID JONES"", ""email"": ""DAVID.JONES@GMAIL.COM"", ""phone"": ""(+91) 98765-43210"", ""tier"": ""gold"", ""address"": {""city"": ""delhi"", ""state"": ""DL"", ""country"": ""IN""}}, ""order"": {""order_id"": ""ORD-2024-00012"", ""channel"": ""mobile_app"", ""placed_at"": ""2024-04-02"", ""currency"": ""INR"", ""total_amount"": ""$4,492.97"", ""items"": [{""product_id"": ""P-067"", ""qty"": ""4"", ""unit_price"": ""130.75"", ""discount_pct"": 80}, {""product_id"": ""P-231"", ""qty"": ""1"", ""unit_price"": ""509.14"", ""discount_pct"": 15}, {""product_id"": ""P-315"", ""qty"": ""3"", ""unit_price"": ""$673.33"", ""discount_pct"": 30}, {""product_id"": ""P-158"", ""qty"": ""0"", ""unit_price"": ""546.31"", ""discount_pct"": 30}, {""product_id"": ""P-297"", ""qty"": ""3"", ""unit_price"": ""480.28"", ""discount_pct"": 5}], ""payment"": {""method"": ""Credit Card"", ""status"": ""PENDING"", ""gateway"": ""Stripe""}}, ""metadata"": {""app_version"": ""3.3.9"", ""is_test_event"": ""false""}}",2024-04-02 17:07:00,mobile
"{""event_id"": ""EVT-20240315-00013"", ""event_type"": ""ORDER_PLACED"", ""occurred_at"": ""17/04/2024 18:36:00"", ""customer"": {""id"": "" C-00503 "", ""name"": ""JANE SMITH"", ""email"": ""JANE.SMITH@GMAIL.COM"", ""phone"": ""(+91) 98765-43210"", ""tier"": ""Gold"", ""address"": {""city"": ""jaipur"", ""state"": ""RJ"", ""country"": ""IN""}}, ""order"": {""order_id"": ""ORD-2024-00013"", ""channel"": ""Partner_API"", ""placed_at"": ""2024-04-17"", ""currency"": ""USD"", ""total_amount"": ""$254.20"", ""items"": [{""product_id"": ""P-108"", ""qty"": ""1"", ""unit_price"": ""254.20"", ""discount_pct"": 0}, {""product_id"": ""P-040"", ""qty"": ""0"", ""unit_price"": ""$769.36"", ""discount_pct"": 80}], ""payment"": {""method"": ""Debit Card"", ""status"": ""PENDING"", ""gateway"": ""Stripe""}}, ""metadata"": {""app_version"": ""3.1.3"", ""is_test_event"": ""false""}}",2024-04-17 18:36:00,web
"{""event_id"": ""EVT-20240315-00014"", ""event_type"": ""page_view"", ""occurred_at"": ""21/06/2024 08:49:00"", ""customer"": {""id"": "" C-00176 "", ""name"": ""JOHN PATEL"", ""email"": ""JOHN.PATEL@GMAIL.COM"", ""phone"": ""(+91) 98765-43210"", ""tier"": ""Gold"", ""address"": {""city"": ""jaipur"", ""state"": ""RJ"", ""country"": ""IN""}}, ""order"": {""order_id"": ""ORD-2024-00014"", ""channel"": ""Partner_API"", ""placed_at"": ""2024-06-21"", ""currency"": ""USD"", ""total_amount"": ""$1,898.14"", ""items"": [{""product_id"": ""P-252"", ""qty"": ""1"", ""unit_price"": ""490.45"", ""discount_pct"": 5}, {""product_id"": ""P-286"", ""qty"": ""0"", ""unit_price"": ""415.17"", ""discount_pct"": 15}, {""product_id"": ""P-189"", ""qty"": null, ""unit_price"": ""$463.02"", ""discount_pct"": 10}, {""product_id"": ""P-071"", ""qty"": ""3"", ""unit_price"": ""$236.61"", ""discount_pct"": 80}, {""product_id"": ""P-262"", ""qty"": ""2"", ""unit_price"": ""$348.93"", ""discount_pct"": 0}], ""payment"": {""method"": ""UPI"", ""status"": ""SUCCESS"", ""gateway"": ""Stripe""}}, ""metadata"": {""app_version"": ""3.2.7"", ""is_test_event"": ""true""}}",2024-06-21 08:49:00,partner_api
"{""event_id"": ""EVT-20240315-00015"", ""event_type"": ""Add_To_Cart"", ""occurred_at"": ""22/02/2024 02:58:00"", ""customer"": {""id"": "" C-00577 "", ""name"": ""JANE JONES"", ""email"": ""JANE.JONES@GMAIL.COM"", ""phone"": ""(+91) 98765-43210"", ""tier"": null, ""address"": {""city"": ""ahmedabad"", ""state"": ""GJ"", ""country"": ""IN""}}, ""order"": {""order_id"": ""ORD-2024-00015"", ""channel"": ""WEB"", ""placed_at"": ""2024-02-22"", ""currency"": ""inr"", ""total_amount"": ""$3,006.92"", ""items"": [{""product_id"": ""P-343"", ""qty"": ""1"", ""unit_price"": ""227.45"", ""discount_pct"": 30}, {""product_id"": ""P-127"", ""qty"": ""3"", ""unit_price"": ""926.49"", ""discount_pct"": 5}], ""payment"": {""method"": ""Debit Card"", ""status"": ""PENDING"", ""gateway"": ""Razorpay""}}, ""metadata"": {""app_version"": ""3.0.9"", ""is_test_event"": ""false""}}",2024-02-22 02:58:00,partner_api
"{""event_id"": ""EVT-20240315-00013"", ""event_type"": ""page_view"", ""occurred_at"": ""13/06/2024 11:26:00"", ""customer"": {""id"": "" C-00193 "", ""name"": ""DAVID SINGH"", ""email"": ""DAVID.SINGH@GMAIL.COM"", ""phone"": ""(+91) 98765-43210"", ""tier"": ""Gold"", ""address"": {""city"": ""pune"", ""state"": ""MH"", ""country"": ""IN""}}, ""order"": {""order_id"": ""ORD-2024-00016"", ""channel"": ""WEB"", ""placed_at"": ""2024-06-13"", ""currency"": ""inr"", ""total_amount"": ""$4,188.99"", ""items"": [{""product_id"": ""P-314"", ""qty"": ""1"", ""unit_price"": ""213.14"", ""discount_pct"": 5}, {""product_id"": ""P-194"", ""qty"": ""5"", ""unit_price"": ""$795.17"", ""discount_pct"": 0}], ""payment"": {""method"": ""COD"", ""status"": ""failed"", ""gateway"": ""Razorpay""}}, ""metadata"": {""app_version"": ""3.4.4"", ""is_test_event"": ""false""}}",2024-06-13 11:26:00,mobile
"{""event_id"": ""EVT-20240315-00012"", ""event_type"": ""page_view"", ""occurred_at"": ""04/05/2024 23:37:00"", ""customer"": {""id"": "" C-00070 "", ""name"": ""JOHN KUMAR"", ""email"": ""JOHN.KUMAR@GMAIL.COM"", ""phone"": ""(+91) 98765-43210"", ""tier"": ""GOLD"", ""address"": {""city"": ""delhi"", ""state"": ""DL"", ""country"": ""IN""}}, ""order"": {""order_id"": ""ORD-2024-00017"", ""channel"": ""WEB"", ""placed_at"": ""2024-05-04"", ""currency"": ""USD"", ""total_amount"": ""$1,600.57"", ""items"": [{""product_id"": ""P-134"", ""qty"": ""3"", ""unit_price"": ""$209.09"", ""discount_pct"": 20}, {""product_id"": ""P-077"", ""qty"": null, ""unit_price"": ""922.41"", ""discount_pct"": 0}, {""product_id"": ""P-269"", ""qty"": ""5"", ""unit_price"": ""$89.58"", ""discount_pct"": 50}, {""product_id"": ""P-319"", ""qty"": ""4"", ""unit_price"": ""$131.35"", ""discount_pct"": 10}], ""payment"": {""method"": ""UPI"", ""status"": ""success"", ""gateway"": ""PayU""}}, ""metadata"": {""app_version"": ""3.2.8"", ""is_test_event"": ""false""}}",2024-05-04 23:37:00,mobile
"{""event_id"": ""EVT-20240315-00018"", ""event_type"": ""order_cancelled"", ""occurred_at"": ""27/04/2024 11:25:00"", ""customer"": {""id"": "" C-00512 "", ""name"": ""JOHN SHAH"", ""email"": ""JOHN.SHAH@GMAIL.COM"", ""phone"": ""(+91) 98765-43210"", ""tier"": null, ""address"": {""city"": ""ahmedabad"", ""state"": ""GJ"", ""country"": ""IN""}}, ""order"": {""order_id"": ""ORD-2024-00018"", ""channel"": ""mobile_app"", ""placed_at"": ""2024-04-27"", ""currency"": ""usd"", ""total_amount"": ""$0.00"", ""items"": [{""product_id"": ""P-330"", ""qty"": null, ""unit_price"": ""873.24"", ""discount_pct"": 50}], ""payment"": {""method"": ""UPI"", ""status"": ""failed"", ""gateway"": ""Stripe""}}, ""metadata"": {""app_version"": ""3.3.2"", ""is_test_event"": ""false""}}",2024-04-27 11:25:00,mobile
"{""event_id"": ""EVT-20240315-00019"", ""event_type"": ""CHECKOUT"", ""occurred_at"": ""08/06/2024 22:44:00"", ""customer"": {""id"": "" C-00237 "", ""name"": ""ANITA KUMAR"", ""email"": ""ANITA.KUMAR@GMAIL.COM"", ""phone"": ""(+91) 98765-43210"", ""tier"": null, ""address"": {""city"": ""pune"", ""state"": ""MH"", ""country"": ""IN""}}, ""order"": {""order_id"": ""ORD-2024-00019"", ""channel"": ""mobile_app"", ""placed_at"": ""2024-06-08"", ""currency"": ""usd"", ""total_amount"": ""$3,339.49"", ""items"": [{""product_id"": ""P-074"", ""qty"": ""4"", ""unit_price"": ""264.96"", ""discount_pct"": 20}, {""product_id"": ""P-043"", ""qty"": ""5"", ""unit_price"": ""455.93"", ""discount_pct"": 20}], ""payment"": {""method"": ""UPI"", ""status"": ""PENDING"", ""gateway"": ""PayU""}}, ""metadata"": {""app_version"": ""3.0.0"", ""is_test_event"": ""true""}}",2024-06-08 22:44:00,mobile
"{""event_id"": ""EVT-20240315-00020"", ""event_type"": ""CHECKOUT"", ""occurred_at"": ""23/04/2024 18:49:00"", ""customer"": {""id"": "" C-00256 "", ""name"": ""NEHA SMITH"", ""email"": ""NEHA.SMITH@GMAIL.COM"", ""phone"": ""(+91) 98765-43210"", ""tier"": ""gold"", ""address"": {""city"": ""mumbai"", ""state"": ""MH"", ""country"": ""IN""}}, ""order"": {""order_id"": ""ORD-2024-00020"", ""channel"": ""WEB"", ""placed_at"": ""2024-04-23"", ""currency"": ""inr"", ""total_amount"": ""$4,129.08"", ""items"": [{""product_id"": ""P-056"", ""qty"": ""2"", ""unit_price"": ""206.09"", ""discount_pct"": 10}, {""product_id"": ""P-324"", ""qty"": ""5"", ""unit_price"": ""743.38"", ""discount_pct"": 10}, {""product_id"": ""P-088"", ""qty"": ""0"", ""unit_price"": ""305.24"", ""discount_pct"": 5}], ""payment"": {""method"": ""UPI"", ""status"": ""PENDING"", ""gateway"": ""Stripe""}}, ""metadata"": {""app_version"": ""3.5.1"", ""is_test_event"": ""false""}}",2024-04-23 18:49:00,web
"{""event_id"": ""EVT-20240315-00021"", ""event_type"": ""CHECKOUT"", ""occurred_at"": ""02/04/2024 23:51:00"", ""customer"": {""id"": "" C-00224 "", ""name"": ""PRIYA BROWN"", ""email"": ""PRIYA.BROWN@GMAIL.COM"", ""phone"": ""(+91) 98765-43210"", ""tier"": ""Gold"", ""address"": {""city"": ""pune"", ""state"": ""MH"", ""country"": ""IN""}}, ""order"": {""order_id"": ""ORD-2024-00021"", ""channel"": ""Partner_API"", ""placed_at"": ""2024-04-02"", ""currency"": ""inr"", ""total_amount"": ""$1,061.19"", ""items"": [{""product_id"": ""P-072"", ""qty"": ""3"", ""unit_price"": ""353.73"", ""discount_pct"": 5}], ""payment"": {""method"": ""COD"", ""status"": ""SUCCESS"", ""gateway"": ""PayU""}}, ""metadata"": {""app_version"": ""3.2.7"", ""is_test_event"": ""false""}}",2024-04-02 23:51:00,partner_api
"{""event_id"": ""EVT-20240315-00011"", ""event_type"": ""page_view"", ""occurred_at"": ""22/01/2024 18:55:00"", ""customer"": {""id"": "" C-00182 "", ""name"": ""RAHUL PATEL"", ""email"": ""RAHUL.PATEL@GMAIL.COM"", ""phone"": ""(+91) 98765-43210"", ""tier"": ""Gold"", ""address"": {""city"": ""delhi"", ""state"": ""DL"", ""country"": ""IN""}}, ""order"": {""order_id"": ""ORD-2024-00022"", ""channel"": ""Partner_API"", ""placed_at"": ""2024-01-22"", ""currency"": ""inr"", ""total_amount"": ""$482.36"", ""items"": [{""product_id"": ""P-330"", ""qty"": ""4"", ""unit_price"": ""120.59"", ""discount_pct"": 20}], ""payment"": {""method"": ""UPI"", ""status"": ""SUCCESS"", ""gateway"": ""Stripe""}}, ""metadata"": {""app_version"": ""3.0.1"", ""is_test_event"": ""false""}}",2024-01-22 18:55:00,partner_api
"{""event_id"": ""EVT-20240315-00023"", ""event_type"": ""order_cancelled"", ""occurred_at"": ""31/01/2024 09:54:00"", ""customer"": {""id"": "" C-00407 "", ""name"": ""NEHA SHAH"", ""email"": ""NEHA.SHAH@GMAIL.COM"", ""phone"": ""(+91) 98765-43210"", ""tier"": ""gold"", ""address"": {""city"": ""jaipur"", ""state"": ""RJ"", ""country"": ""IN""}}, ""order"": {""order_id"": ""ORD-2024-00023"", ""channel"": ""Partner_API"", ""placed_at"": ""2024-01-31"", ""currency"": ""usd"", ""total_amount"": ""$170.76"", ""items"": [{""product_id"": ""P-212"", ""qty"": ""1"", ""unit_price"": ""$170.76"", ""discount_pct"": 5}, {""product_id"": ""P-364"", ""qty"": null, ""unit_price"": ""$125.91"", ""discount_pct"": 20}], ""payment"": {""method"": ""UPI"", ""status"": ""PENDING"", ""gateway"": ""PayU""}}, ""metadata"": {""app_version"": ""3.4.8"", ""is_test_event"": ""true""}}",2024-01-31 09:54:00,web
"{""event_id"": ""EVT-20240315-00024"", ""event_type"": ""order_cancelled"", ""occurred_at"": ""07/02/2024 14:11:00"", ""customer"": {""id"": "" C-00305 "", ""name"": ""ROHAN SMITH"", ""email"": ""ROHAN.SMITH@GMAIL.COM"", ""phone"": ""(+91) 98765-43210"", ""tier"": ""GOLD"", ""address"": {""city"": ""jaipur"", ""state"": ""RJ"", ""country"": ""IN""}}, ""order"": {""order_id"": ""ORD-2024-00024"", ""channel"": ""mobile_app"", ""placed_at"": ""2024-02-07"", ""currency"": ""usd"", ""total_amount"": ""$5,443.75"", ""items"": [{""product_id"": ""P-064"", ""qty"": ""0"", ""unit_price"": ""$668.83"", ""discount_pct"": 80}, {""product_id"": ""P-168"", ""qty"": ""3"", ""unit_price"": ""952.61"", ""discount_pct"": 50}, {""product_id"": ""P-140"", ""qty"": ""4"", ""unit_price"": ""$646.48"", ""discount_pct"": 5}, {""product_id"": ""P-161"", ""qty"": ""0"", ""unit_price"": ""$799.98"", ""discount_pct"": 5}, {""product_id"": ""P-014"", ""qty"": null, ""unit_price"": ""$116.41"", ""discount_pct"": 0}], ""payment"": {""method"": ""COD"", ""status"": ""success"", ""gateway"": ""Razorpay""}}, ""metadata"": {""app_version"": ""3.2.2"", ""is_test_event"": ""false""}}",2024-02-07 14:11:00,partner_api
